Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Residential,4101,6,2,1,Wood,9,Gabled,Slab,Company D,16726,285566,9
Residential,1741,7,13,4,Carpet,12,Flat,Basement,Company B,12961,242962,13
Industrial,4823,9,13,3,Tile,14,Pitched,Crawl Space,Company D,10990,415384,12
Industrial,3096,2,4,4,Wood,9,Pitched,Slab,Company D,14666,367869,32
Residential,1739,9,7,4,Carpet,8,Pitched,Slab,Company D,21888,301986,18
Residential,2410,5,1,1,Carpet,9,Pitched,Basement,Company C,32984,119155,26
Commercial,2525,6,1,2,Tile,8,Flat,Crawl Space,Company B,30181,309415,10
Residential,1784,6,14,2,Wood,13,Pitched,Basement,Company A,29865,464799,6
Commercial,2387,3,11,1,Wood,9,Flat,Slab,Company D,42096,108148,30
Residential,4821,7,12,3,Wood,10,Flat,Crawl Space,Company D,36370,371151,21
Commercial,2136,7,11,4,Wood,10,Flat,Basement,Company C,49695,271637,16
Industrial,3937,8,6,2,Carpet,14,Flat,Crawl Space,Company B,8542,199840,27
Residential,1461,5,7,2,Tile,14,Gabled,Slab,Company D,31008,247457,36
Residential,832,2,12,4,Tile,13,Gabled,Basement,Company C,44140,185577,23
Residential,4214,3,5,3,Wood,13,Gabled,Slab,Company A,41754,350148,29
Residential,1956,9,12,4,Wood,14,Pitched,Slab,Company B,34676,111001,14
Commercial,3926,6,10,1,Wood,10,Flat,Basement,Company D,31913,398077,35
Residential,860,8,8,1,Tile,13,Flat,Basement,Company A,16637,421586,9
Industrial,4728,8,11,3,Carpet,8,Pitched,Basement,Company D,45956,234315,12
Industrial,2343,5,4,2,Carpet,14,Gabled,Slab,Company B,49865,451383,33
Residential,1071,1,3,2,Wood,8,Flat,Crawl Space,Company C,34895,456511,33
Industrial,4876,6,7,3,Carpet,11,Pitched,Crawl Space,Company D,18444,421719,28
Residential,4188,7,14,3,Carpet,11,Gabled,Crawl Space,Company B,23753,306641,12
Residential,3552,9,4,1,Tile,9,Pitched,Crawl Space,Company C,13037,486239,18
Industrial,3509,2,1,1,Wood,8,Pitched,Crawl Space,Company A,49823,310077,24
Residential,1954,2,11,3,Carpet,14,Flat,Crawl Space,Company D,7789,123670,12
Industrial,4653,1,8,2,Wood,10,Gabled,Basement,Company A,40151,331037,26
Commercial,2545,5,5,4,Wood,10,Gabled,Crawl Space,Company D,29754,383469,33
Residential,4232,2,13,4,Carpet,14,Flat,Slab,Company B,25119,375864,33
Commercial,1137,3,8,4,Tile,10,Gabled,Slab,Company A,46832,315084,12
Industrial,809,2,8,1,Carpet,9,Pitched,Crawl Space,Company D,34109,275293,18
Commercial,4944,4,12,3,Tile,8,Pitched,Slab,Company B,23899,274214,9
Commercial,1530,3,5,2,Carpet,13,Pitched,Slab,Company D,31096,323208,17
Industrial,2448,9,8,1,Wood,9,Flat,Crawl Space,Company C,34213,105274,13
Commercial,4454,2,7,3,Tile,13,Gabled,Basement,Company B,29750,216453,21
Commercial,2930,7,13,3,Tile,12,Flat,Basement,Company B,41137,140165,16
Industrial,3196,3,3,4,Wood,12,Flat,Crawl Space,Company D,37818,437942,9
Commercial,2306,8,4,4,Carpet,11,Flat,Basement,Company B,14892,430911,26
Industrial,2958,4,11,2,Tile,13,Flat,Basement,Company A,46943,325793,34
Commercial,3716,4,12,2,Carpet,8,Gabled,Crawl Space,Company D,31508,473962,20
Industrial,4971,9,13,4,Carpet,13,Pitched,Slab,Company C,48608,316252,31
Industrial,4029,3,7,4,Carpet,13,Pitched,Basement,Company B,45077,412430,17
Commercial,4403,7,4,3,Wood,10,Pitched,Crawl Space,Company C,37884,128029,28
Commercial,2466,1,6,2,Carpet,8,Gabled,Slab,Company A,47451,360897,7
Commercial,4936,7,12,3,Wood,14,Gabled,Basement,Company B,48046,396710,28
Residential,3769,2,2,2,Tile,13,Gabled,Crawl Space,Company B,15587,206761,28
Residential,3489,6,12,2,Carpet,13,Pitched,Basement,Company D,22368,272504,11
Residential,3126,9,2,1,Tile,13,Gabled,Basement,Company C,24621,178465,34
Industrial,3610,6,3,4,Carpet,11,Pitched,Crawl Space,Company D,30361,157072,23
Commercial,3316,3,10,1,Tile,14,Pitched,Slab,Company C,45486,224829,29
Industrial,4271,1,7,2,Wood,10,Flat,Crawl Space,Company D,6527,297712,27
Residential,812,4,3,3,Tile,9,Gabled,Slab,Company C,10442,269116,17
Commercial,3770,4,12,2,Tile,10,Flat,Crawl Space,Company D,6832,335729,21
Industrial,4421,8,3,1,Carpet,13,Gabled,Crawl Space,Company B,49054,451469,6
Commercial,4483,7,13,4,Carpet,13,Gabled,Basement,Company B,35754,321499,24
Industrial,4273,7,14,3,Carpet,14,Flat,Slab,Company C,39021,247426,35
Commercial,3922,7,4,2,Carpet,12,Gabled,Slab,Company D,36210,257712,9
Residential,4264,2,10,2,Wood,9,Gabled,Slab,Company C,39956,165719,15
Residential,1452,9,6,4,Tile,13,Gabled,Basement,Company D,33877,262286,15
Commercial,1420,6,1,2,Tile,14,Pitched,Crawl Space,Company C,6186,266485,29
Industrial,4590,2,6,2,Wood,10,Pitched,Basement,Company A,47408,318034,12
Residential,2445,1,8,4,Tile,14,Gabled,Crawl Space,Company B,33805,407096,11
Residential,3043,1,12,1,Carpet,9,Flat,Crawl Space,Company C,32207,148595,36
Residential,4291,1,8,1,Carpet,12,Pitched,Crawl Space,Company A,12655,403256,31
Commercial,4511,4,6,1,Carpet,12,Pitched,Crawl Space,Company B,18876,134062,27
Commercial,4488,4,6,1,Tile,8,Gabled,Crawl Space,Company A,31062,167172,34
Industrial,2179,9,13,3,Wood,13,Pitched,Basement,Company D,19415,302830,17
Industrial,2845,1,3,3,Wood,14,Flat,Slab,Company D,20452,290222,15
Industrial,3848,3,14,4,Tile,12,Flat,Crawl Space,Company D,32133,437079,30
Commercial,2188,3,2,4,Wood,12,Flat,Basement,Company C,32932,139505,17
Commercial,1201,8,7,4,Wood,12,Flat,Basement,Company A,43306,298180,18
Industrial,3453,2,8,3,Carpet,13,Pitched,Basement,Company A,30289,466207,20
Industrial,4723,6,10,2,Tile,14,Pitched,Basement,Company D,16891,218048,33
Commercial,1067,4,13,3,Wood,11,Flat,Basement,Company C,7240,167714,35
Industrial,2525,6,14,1,Tile,14,Pitched,Crawl Space,Company D,44364,175056,35
Residential,1912,5,6,1,Carpet,14,Gabled,Slab,Company C,6474,436565,26
Commercial,3475,9,5,2,Carpet,14,Gabled,Crawl Space,Company B,16622,229172,18
Industrial,2080,9,4,4,Wood,12,Gabled,Crawl Space,Company A,38791,175885,24
Commercial,2032,1,1,3,Tile,14,Gabled,Slab,Company C,42873,299706,21
Residential,2663,3,9,2,Tile,8,Gabled,Crawl Space,Company D,21781,233507,16
Commercial,1416,1,11,2,Carpet,9,Flat,Slab,Company C,44085,360210,6
Commercial,946,6,10,3,Carpet,11,Pitched,Crawl Space,Company C,18338,383874,23
Commercial,4477,3,4,2,Carpet,9,Flat,Slab,Company B,9013,266016,12
Commercial,1088,1,2,4,Wood,9,Flat,Basement,Company D,26017,278947,17
Residential,2209,6,4,3,Tile,14,Flat,Slab,Company A,19740,413782,23
Commercial,813,5,13,3,Wood,14,Pitched,Crawl Space,Company C,29343,138423,17
Commercial,1056,8,11,2,Tile,8,Gabled,Crawl Space,Company D,25780,297741,14
Industrial,2521,2,5,4,Carpet,14,Flat,Slab,Company A,11867,323900,22
Commercial,2223,8,2,4,Wood,11,Pitched,Basement,Company C,49444,177333,9
Industrial,3790,5,7,1,Wood,13,Flat,Crawl Space,Company C,36761,242486,29
Residential,1995,8,3,3,Wood,10,Pitched,Basement,Company D,14858,253812,34
Residential,2044,4,14,1,Carpet,12,Flat,Slab,Company A,38714,303597,32
Residential,4023,4,8,4,Wood,9,Gabled,Slab,Company A,31495,446631,36
Residential,4270,4,4,4,Wood,9,Pitched,Slab,Company B,5622,355801,33
Industrial,4967,6,12,1,Carpet,8,Flat,Basement,Company B,15367,316143,29
Commercial,4769,4,11,3,Tile,13,Gabled,Basement,Company D,6760,283383,34
Residential,2106,9,5,1,Wood,8,Gabled,Slab,Company A,27673,495834,9
Commercial,2921,9,3,4,Carpet,8,Pitched,Slab,Company C,24364,275193,33
Industrial,3202,3,13,4,Wood,11,Gabled,Slab,Company D,18175,124326,35
Industrial,1296,7,11,2,Wood,14,Pitched,Basement,Company B,38982,459704,33
Industrial,4199,5,5,2,Tile,13,Pitched,Basement,Company D,41370,458501,25
Residential,4406,9,9,1,Carpet,14,Gabled,Basement,Company A,28702,255308,25
Commercial,1709,2,11,2,Tile,14,Gabled,Slab,Company D,31451,180089,36
Commercial,1172,3,13,4,Tile,12,Pitched,Basement,Company B,43582,142239,34
Commercial,2144,5,14,3,Carpet,11,Gabled,Crawl Space,Company A,9887,188729,6
Industrial,1123,5,2,3,Tile,8,Pitched,Basement,Company C,9249,342845,35
Residential,3231,7,7,1,Wood,14,Gabled,Basement,Company B,31848,436065,8
Industrial,3584,8,10,2,Carpet,8,Pitched,Crawl Space,Company B,43879,133147,24
Industrial,3193,8,8,1,Carpet,13,Gabled,Basement,Company B,15743,161674,26
Commercial,4720,1,3,2,Wood,13,Gabled,Slab,Company D,40381,122580,13
Industrial,2015,1,11,3,Wood,14,Flat,Crawl Space,Company B,47594,459112,26
Commercial,2495,3,4,2,Wood,9,Flat,Slab,Company D,42536,100678,25
Residential,2707,1,13,2,Tile,11,Pitched,Crawl Space,Company D,25439,149771,28
Commercial,1580,1,11,1,Tile,14,Flat,Basement,Company A,20993,209450,6
Residential,1819,8,10,3,Tile,11,Flat,Crawl Space,Company A,45816,217387,11
Commercial,4065,1,2,2,Tile,13,Pitched,Basement,Company B,15632,437535,14
Industrial,2203,9,10,3,Tile,12,Gabled,Basement,Company D,21484,169090,23
Industrial,2226,2,13,2,Tile,11,Gabled,Slab,Company C,10860,192215,36
Residential,1463,9,9,3,Carpet,13,Pitched,Crawl Space,Company D,31826,437774,14
Residential,3447,7,3,2,Carpet,12,Flat,Crawl Space,Company A,33244,259631,28
Residential,810,9,9,4,Carpet,10,Gabled,Basement,Company A,35778,456528,28
Commercial,1838,3,13,3,Carpet,13,Flat,Slab,Company D,12376,144319,25
Commercial,3625,1,7,4,Carpet,12,Pitched,Slab,Company D,41172,352497,15
Residential,3803,1,6,4,Carpet,8,Flat,Basement,Company D,41334,308244,21
Industrial,1875,6,11,4,Tile,10,Pitched,Slab,Company C,42433,258124,26
Commercial,3888,7,12,2,Carpet,14,Pitched,Slab,Company D,11725,247668,36
Commercial,2589,9,11,3,Wood,9,Gabled,Basement,Company B,34509,414831,17
Commercial,3836,6,3,2,Carpet,9,Pitched,Slab,Company B,22790,357350,11
Residential,4453,5,11,2,Wood,9,Gabled,Basement,Company A,29123,446495,19
Residential,3975,2,7,3,Wood,8,Pitched,Slab,Company C,31904,444235,27
Residential,1876,2,11,1,Carpet,14,Gabled,Basement,Company C,41694,171848,36
Residential,1773,8,14,2,Tile,13,Flat,Crawl Space,Company A,22756,434558,13
Residential,2665,1,3,4,Tile,9,Pitched,Slab,Company B,29894,457570,20
Industrial,3925,8,13,2,Wood,12,Flat,Slab,Company B,48673,465513,15
Industrial,2099,7,11,1,Tile,13,Pitched,Slab,Company C,36784,345628,33
Residential,4206,7,6,4,Wood,8,Pitched,Slab,Company D,31932,467562,10
Commercial,1958,5,8,2,Tile,11,Pitched,Slab,Company D,46956,284469,31
Residential,3929,3,5,3,Tile,8,Gabled,Basement,Company C,11858,476049,25
Industrial,904,7,11,4,Tile,14,Gabled,Slab,Company C,43629,342536,32
Industrial,4367,7,11,1,Tile,8,Flat,Basement,Company C,41296,256337,34
Commercial,1981,7,13,2,Carpet,11,Flat,Crawl Space,Company C,44367,204413,21
Industrial,3938,2,3,3,Carpet,14,Pitched,Crawl Space,Company C,39909,415550,29
Residential,4334,3,6,4,Carpet,12,Flat,Basement,Company C,41230,451116,31
Commercial,4996,3,8,4,Wood,10,Pitched,Crawl Space,Company C,17927,407145,13
Residential,3927,4,10,3,Carpet,11,Pitched,Basement,Company C,6252,102098,16
Residential,2574,9,3,1,Carpet,8,Pitched,Slab,Company D,6520,298391,8
Commercial,4614,1,12,4,Carpet,9,Gabled,Basement,Company A,21968,184840,7
Residential,891,7,13,1,Tile,11,Flat,Crawl Space,Company B,48090,394931,6
Industrial,1246,7,14,1,Tile,11,Gabled,Basement,Company A,17011,245583,6
Residential,908,4,11,3,Tile,10,Pitched,Crawl Space,Company A,44103,469613,25
Commercial,4039,1,11,4,Tile,14,Pitched,Basement,Company C,19791,263911,15
Commercial,4853,3,5,2,Tile,8,Gabled,Crawl Space,Company C,22263,148071,36
Commercial,2045,5,9,3,Carpet,9,Flat,Slab,Company C,19381,299397,23
Residential,3520,2,14,3,Carpet,9,Gabled,Basement,Company A,21845,110203,21
Commercial,1077,7,14,1,Tile,10,Gabled,Slab,Company D,8634,136472,24
Commercial,3856,7,10,2,Tile,13,Flat,Slab,Company C,12110,380205,21
Residential,3722,5,10,3,Carpet,9,Pitched,Slab,Company C,31501,318829,8
Industrial,3313,6,3,1,Carpet,12,Flat,Crawl Space,Company B,44709,164638,36
Residential,1638,1,13,4,Tile,11,Flat,Crawl Space,Company D,48663,476958,12
Commercial,3601,4,12,1,Wood,11,Gabled,Slab,Company C,19198,431344,11
Commercial,829,4,11,2,Tile,9,Pitched,Basement,Company D,22720,148532,16
Residential,2057,8,2,2,Carpet,9,Pitched,Crawl Space,Company B,38728,378246,10
Industrial,1164,2,11,1,Wood,9,Pitched,Crawl Space,Company A,47345,105925,14
Commercial,2600,1,13,4,Tile,11,Gabled,Slab,Company B,11972,448168,9
Commercial,1704,7,14,2,Carpet,9,Gabled,Crawl Space,Company D,19096,299403,17
Commercial,2978,6,8,2,Carpet,12,Flat,Basement,Company C,42822,307586,15
Residential,3650,5,14,4,Carpet,12,Flat,Crawl Space,Company C,27772,146394,8
Commercial,3636,8,14,3,Tile,11,Gabled,Crawl Space,Company B,23679,379788,28
Industrial,979,2,14,2,Tile,13,Flat,Basement,Company B,12330,450005,12
Commercial,4673,2,7,1,Wood,8,Gabled,Basement,Company D,24652,419632,7
Commercial,4760,9,12,4,Carpet,14,Flat,Crawl Space,Company D,17122,426225,30
Industrial,1986,1,9,2,Carpet,8,Pitched,Basement,Company D,26097,296099,36
Commercial,4759,6,4,3,Wood,8,Gabled,Crawl Space,Company C,13674,384664,13
Residential,1573,3,3,2,Tile,12,Flat,Basement,Company B,40023,113295,18
Residential,1152,5,10,3,Carpet,14,Gabled,Slab,Company D,29453,464537,20
Residential,3828,8,5,2,Wood,10,Gabled,Crawl Space,Company B,28503,142508,36
Industrial,917,7,11,2,Carpet,14,Flat,Slab,Company C,29119,314986,6
Commercial,1281,4,1,1,Tile,8,Flat,Crawl Space,Company A,9231,403730,7
Residential,3437,8,5,4,Tile,10,Gabled,Basement,Company D,33627,489088,32
Industrial,906,2,13,4,Wood,11,Gabled,Slab,Company A,25702,190587,23
Commercial,1043,7,13,1,Wood,14,Flat,Crawl Space,Company C,49051,364455,29
Industrial,3432,5,3,4,Carpet,12,Pitched,Basement,Company B,14672,459146,32
Residential,1665,6,1,4,Tile,13,Pitched,Basement,Company A,42149,366438,24
Residential,3781,3,3,4,Tile,8,Pitched,Slab,Company B,12193,472028,36
Residential,2361,7,5,2,Wood,12,Gabled,Crawl Space,Company D,45513,220288,12
Industrial,1403,7,5,2,Wood,11,Pitched,Slab,Company D,36292,191314,35
Industrial,3862,2,10,3,Carpet,12,Gabled,Crawl Space,Company C,26948,396052,31
Residential,4818,1,12,3,Tile,9,Flat,Basement,Company D,19892,119190,34
Industrial,2815,2,8,4,Carpet,8,Pitched,Basement,Company B,26293,420925,27
Residential,2458,8,11,4,Carpet,12,Flat,Basement,Company D,18079,398476,7
Residential,4180,3,1,4,Wood,13,Pitched,Crawl Space,Company A,25812,320499,21
Commercial,4567,4,7,1,Tile,12,Pitched,Crawl Space,Company B,40855,140457,30
Industrial,4570,8,5,2,Wood,12,Flat,Basement,Company D,18649,202109,21
Residential,2413,3,3,4,Carpet,11,Flat,Crawl Space,Company A,25623,344091,30
Residential,2679,6,4,4,Carpet,8,Gabled,Crawl Space,Company B,44552,329656,28
Industrial,4908,2,3,2,Tile,13,Flat,Basement,Company A,44889,181375,9
Commercial,3146,3,8,3,Tile,8,Gabled,Basement,Company B,49052,247617,22
Commercial,1899,1,4,4,Tile,9,Gabled,Crawl Space,Company A,49892,325190,19
Residential,1874,9,3,4,Tile,9,Flat,Crawl Space,Company A,8632,187518,13
Industrial,1586,4,2,4,Wood,14,Pitched,Slab,Company D,20883,454779,14
Commercial,948,6,3,4,Wood,12,Pitched,Crawl Space,Company C,47005,199929,13
Industrial,2554,7,7,2,Wood,8,Pitched,Slab,Company D,45807,471882,36
Industrial,2969,2,6,2,Wood,14,Flat,Crawl Space,Company B,23081,183859,23
Residential,4556,8,10,2,Carpet,14,Pitched,Slab,Company A,5409,367591,12
Commercial,1979,9,12,3,Wood,8,Gabled,Slab,Company B,40995,355745,31
Residential,4109,2,13,4,Wood,12,Flat,Basement,Company D,14374,348305,18
Commercial,3223,5,5,3,Tile,10,Gabled,Crawl Space,Company B,16021,287546,6
Commercial,4977,2,8,3,Carpet,8,Pitched,Basement,Company D,29662,494038,26
Commercial,1724,5,11,2,Wood,12,Pitched,Basement,Company D,42383,100468,34
Commercial,2403,7,1,4,Carpet,12,Pitched,Crawl Space,Company C,20013,274023,13
Commercial,3852,6,3,4,Carpet,14,Gabled,Basement,Company D,7057,167798,14
Industrial,3177,4,2,3,Carpet,10,Pitched,Basement,Company A,36494,413962,31
Residential,4280,2,2,1,Carpet,9,Gabled,Basement,Company D,28809,340455,24
Industrial,3982,7,12,1,Tile,13,Flat,Basement,Company D,8204,335588,29
Commercial,3617,9,11,4,Tile,12,Flat,Slab,Company A,31562,321504,20
Residential,3960,1,12,4,Carpet,8,Flat,Crawl Space,Company D,18508,474653,8
Commercial,1511,3,1,3,Carpet,9,Pitched,Crawl Space,Company B,26047,238836,29
Residential,3386,7,5,3,Carpet,9,Gabled,Basement,Company C,46235,430026,32
Industrial,3448,9,5,2,Tile,9,Pitched,Crawl Space,Company A,30052,496361,26
Residential,2517,5,3,3,Tile,12,Flat,Slab,Company A,7245,244833,28
Residential,1670,7,12,3,Carpet,8,Flat,Basement,Company B,28875,335796,16
Residential,4374,7,12,1,Carpet,13,Pitched,Basement,Company A,7531,321324,19
Residential,1070,4,9,1,Carpet,10,Pitched,Basement,Company B,10304,469521,17
Residential,2343,5,12,1,Carpet,11,Pitched,Slab,Company A,27036,175253,33
Commercial,1349,2,6,1,Tile,11,Gabled,Crawl Space,Company D,17366,116376,27
Residential,4814,8,14,3,Wood,9,Pitched,Slab,Company A,37794,248507,10
Residential,2512,1,10,4,Wood,14,Flat,Crawl Space,Company C,49710,382781,7
Industrial,4040,2,14,1,Tile,11,Flat,Slab,Company A,12506,307953,30
Residential,2162,3,6,2,Tile,14,Gabled,Slab,Company A,19274,367369,28
Industrial,2084,7,10,2,Wood,11,Pitched,Basement,Company C,32099,146721,12
Commercial,1686,6,6,3,Wood,12,Gabled,Basement,Company A,37469,207321,10
Residential,3058,7,14,2,Wood,10,Pitched,Basement,Company B,31992,211826,8
Industrial,2585,5,2,1,Carpet,11,Flat,Slab,Company B,27213,490137,30
Industrial,4343,4,11,4,Wood,14,Pitched,Slab,Company C,17278,356020,35
Commercial,1095,7,10,4,Wood,13,Pitched,Crawl Space,Company D,37222,183289,15
Residential,2853,3,10,1,Carpet,13,Flat,Slab,Company A,31636,236365,16
Residential,3397,7,8,2,Carpet,10,Flat,Crawl Space,Company C,28152,454520,13
Industrial,1480,2,6,3,Tile,11,Flat,Basement,Company C,17897,162290,11
Residential,1124,8,13,4,Carpet,13,Pitched,Basement,Company A,31417,172216,33
Industrial,3091,6,14,1,Wood,9,Gabled,Slab,Company D,14865,407688,17
Residential,1786,3,3,1,Carpet,9,Pitched,Crawl Space,Company A,49135,237875,18
Industrial,3918,3,10,2,Tile,13,Gabled,Crawl Space,Company A,31795,115353,7
Residential,1560,5,9,3,Wood,10,Pitched,Basement,Company C,11612,442789,36
Commercial,4493,3,2,3,Tile,14,Pitched,Slab,Company D,19116,406961,28
Residential,1836,6,7,2,Tile,10,Pitched,Crawl Space,Company C,43179,188752,26
Residential,1706,2,3,1,Tile,10,Pitched,Crawl Space,Company D,47999,449137,21
Commercial,1164,8,12,2,Carpet,10,Gabled,Crawl Space,Company D,6627,112179,29
Residential,4213,9,6,2,Carpet,8,Pitched,Basement,Company C,16468,432646,27
Commercial,1869,7,5,2,Tile,9,Flat,Slab,Company D,13320,284481,31
Residential,3055,3,13,1,Tile,11,Flat,Crawl Space,Company A,28722,166953,18
Industrial,4486,4,6,4,Tile,8,Pitched,Slab,Company C,16144,124864,14
Industrial,3881,2,8,1,Tile,10,Gabled,Crawl Space,Company C,34168,251154,18
Residential,4058,9,14,4,Carpet,11,Flat,Basement,Company A,17243,465494,20
Residential,2907,5,3,4,Carpet,9,Flat,Slab,Company D,15602,398898,13
Residential,3733,2,2,2,Tile,10,Flat,Crawl Space,Company D,28401,213857,28
Industrial,3629,6,8,3,Carpet,12,Pitched,Basement,Company D,46154,377550,22
Residential,1241,7,1,2,Wood,10,Flat,Basement,Company A,17146,381264,15
Industrial,2359,2,2,1,Carpet,11,Gabled,Basement,Company C,17831,255677,14
Commercial,2541,1,10,3,Tile,9,Gabled,Crawl Space,Company B,17667,113798,29
Industrial,1425,7,1,3,Carpet,14,Gabled,Basement,Company C,38762,307162,22
Industrial,4663,1,5,1,Wood,10,Flat,Basement,Company B,6605,455061,34
Commercial,2490,3,8,1,Wood,9,Flat,Basement,Company C,22721,330891,22
Industrial,3581,4,2,2,Carpet,8,Gabled,Basement,Company B,26939,414317,24
Residential,890,2,4,1,Wood,12,Flat,Basement,Company A,13389,432052,24
Residential,3806,7,4,4,Wood,13,Gabled,Crawl Space,Company D,6368,369309,7
Industrial,1888,5,11,4,Carpet,13,Pitched,Slab,Company A,7331,464978,16
Residential,1980,1,11,3,Carpet,8,Pitched,Crawl Space,Company D,33902,378935,13
Industrial,2701,8,7,2,Carpet,13,Pitched,Crawl Space,Company C,19016,118660,26
Residential,986,7,1,2,Tile,12,Flat,Crawl Space,Company A,48471,312903,22
Residential,2397,4,9,3,Tile,14,Pitched,Slab,Company C,30491,172936,6
Industrial,4208,2,3,1,Wood,8,Pitched,Slab,Company D,12118,237825,23
Residential,4547,7,6,2,Wood,9,Gabled,Basement,Company C,27642,462158,12
Industrial,3470,2,10,3,Carpet,14,Gabled,Slab,Company A,8721,427443,14
Residential,1039,6,14,3,Wood,9,Gabled,Crawl Space,Company B,6469,100825,30
Residential,3380,1,5,4,Carpet,8,Pitched,Basement,Company D,11436,111312,14
Commercial,938,7,4,3,Tile,14,Gabled,Slab,Company C,37482,464200,15
Commercial,3306,7,9,1,Carpet,11,Pitched,Crawl Space,Company B,15043,279129,21
Industrial,4965,4,11,1,Wood,8,Flat,Basement,Company B,18914,453851,16
Commercial,3045,4,12,1,Carpet,10,Pitched,Basement,Company A,48084,443831,11
Industrial,2549,5,14,1,Carpet,11,Gabled,Basement,Company C,14565,485804,32
